situation,event,sentence_type,subject_01,verb_01,noun_01,preposition_02,clause_01,full_sentence,traditional_chinese
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,am,Sum Wan,from,Hong Kong,I am Sum Wan from Hong Kong,我是來自香港的Sum Wan。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,You,can,call,me,Timothy,You can call me Timothy,你可以叫我Timothy。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,been,living in,Hong Kong since I was born,I have been living in Hong Kong since I was born,我從出生以來一直住在香港。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,had,working experience,before,I started studying,I had working experience before I started studying,在我開始學習之前，我有工作經驗。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,am,skilled,in,"project management, coding, and project design architecture","I am skilled in project management, coding, and project design architecture",我擅長專案管理、編碼和專案設計架構。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,like,to bring,enthusiasm and adaptability,to my work,I like to bring enthusiasm and adaptability to my work,我喜歡將熱情和適應能力帶到我的工作中。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,the confidence,to contain,creativity and initiative,I have the confidence to contain creativity and initiative,我有自信能夠包容創造力和主動性。
IT INTERVIEW,INTERNSHIP GOALS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,are,many things,to gain,from an internship,There are many things to gain from an internship,從實習中可以獲得許多收穫。
IT INTERVIEW,INTERNSHIP GOALS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,want,to learn,a variety of areas,in the field of AI,I want to learn a variety of areas in the field of AI,我想要在人工智慧領域學習各種不同的領域。
IT INTERVIEW,INTERNSHIP GOALS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,hope,to become,an IT expert,in a specific field of AI,I hope to become an IT expert in a specific field of AI,我希望成為人工智慧特定領域的資訊科技專家。
IT INTERVIEW,SKILLS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,gained,great programming skill,from college education,I have gained great programming skill from college education,我從大學教育中獲得了很棒的程式設計技能。
IT INTERVIEW,SKILLS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,When,I was studying,I gained experience,in,"using Asp.net, C#, C++, Python, SQL, and Javascript","When I was studying I gained experience in using Asp.net, C#, C++, Python, SQL, and Javascript",當我在學習時，我獲得了使用Asp.net、C#、C++、Python、SQL和Javascript的經驗。
IT INTERVIEW,CHALLENGES,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,set,a high standard,for,myself,I set a high standard for myself,我對自己設立了很高的標準。
IT INTERVIEW,CHALLENGES,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,One day a customer,reported,a performance issue,in,our web application,One day a customer reported a performance issue in our web application,有一天，一位顧客向我們報告了我們的網絡應用程式的性能問題。
